Time;SpeedRpm;SpeedKmph;GasSignal;LapNumber;MotorCommError;AssistantSwitch;BmsCommError;BmsRelays;BmsPower;BmsVoltage;DriveCommand;Energy;AuxiliaryBattery
291,65;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,8207
292,2;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,8181
292,75;0;0;0;0;false;false;false;14;4,02111;51,4702;false;1;12,8179
293,3;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,8234
293,85;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8199
294,35;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8152
294,9;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8166
295,4;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8177
295,95;0;0;0;0;false;false;false;14;4,02111;51,4702;false;1;12,8203
296,45;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,8187
296,95;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8173
297,45;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8182
297,95;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,817
298,45;0;0;0;0;false;false;false;14;4,02189;51,4802;false;1;12,8162
298,95;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8214
299,45;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8218
299,95;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8197
300,45;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,8057
300,95;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7843
301,45;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7833
302;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7854
302,5;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7871
303;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7854
303,5;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7846
304;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7845
304,5;0;0;0;0;false;false;false;14;4,82721;51,4902;false;1;12,7814
305,1;0;0;0;0;false;false;false;14;4,82721;51,4902;false;1;12,7862
305,6;0;0;0;0;false;false;false;14;4,82721;51,4902;false;1;12,7824
306,1;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7833
306,75;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7812
307,3;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,783
307,8;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,782
308,3;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7809
