Time;Time_Race_s;LapNumber;SpeedKmph;Vehicle_Speed_mps;Distance;Distance_Race_m;BMS_Battery_Voltage_V;Acc_X_G;Acc_Y_G;Acc_Z_G
103,5112278;0;0;0,01025;0,002847222;48,66480254;0;48,901;0,01953125;0,02734375;-0,96875
104,5112369;0;0;0,015375;0,004270833;48,66923379;0;48,9;-0,01953125;0,0078125;-0,97265625
105,5112491;0;0;0,009225;0,0025625;48,67224472;0;48,9;-0,04296875;-0,03125;-0,92578125
106,511234;0;0;0,02665;0,007402778;48,67612034;0;48,9;-0,01171875;-0,0546875;-0,94140625
107,511271;0;0;0,01845;0,005125;48,6801922;0;48,9;-0,02734375;-0,0546875;-0,9609375
108,5112319;0;0;0,01845;0,005125;48,68549514;0;48,9;0,00390625;-0,015625;-0,9375
109,5112689;0;0;0,0369;0,01025;48,6929907;0;48,9;-0,01171875;0,0078125;-0,99609375
110,511235;0;0;0,0082;0,002277778;48,69877019;0;48,9;0;0,03515625;-0,97265625
111,5112579;0;0;0,02665;0,007402778;48,70247189;0;48,899;-0,00390625;0,0078125;-0,98046875
112,511246;0;0;0,0082;0,002277778;48,70615882;0;48,899;-0,01171875;-0,01171875;-0,96484375
113,5112679;0;0;0,02665;0,007402778;48,71048669;0;48,9;-0,01953125;0,00390625;-0,97265625
114,5112259;0;0;0,0041;0,001138889;48,71217366;0;48,899;-0,01953125;-0,00390625;-0,9765625
115,5112391;0;0;0,01845;0,005125;48,71457239;0;48,899;-0,01953125;-0,01953125;-0,9609375
116,511245;0;0;0,01845;0,005125;48,7201961;0;48,899;-0,01171875;-0,015625;-0,9765625
117,511271;0;0;0,009225;0,0025625;48,72698331;0;48,899;-0,0234375;-0,01171875;-0,98828125
118,5112429;0;0;0,01845;0,005125;48,73036074;0;48,899;-0,00390625;0,0234375;-0,99609375
119,5112679;0;0;0,097374999;0,027048611;48,74000304;0;48,899;0;0,00390625;-0,96484375
120,511234;0;0;0,0369;0,01025;48,75168685;0;48,899;-0,0078125;0;-0,98828125
121,5112939;0;0;0,01025;0,002847222;48,75935343;0;48,899;0,00390625;0;-0,984375
122,511241;0;0;0,0123;0,003416667;48,7636451;0;48,899;-0,00390625;-0,015625;-0,93359375
123,511235;0;0;0,044075;0,012243055;48,77011187;0;48,899;-0,01953125;-0,01171875;-0,9609375
124,4112339;0;0;0,061499999;0,017083333;48,77799517;0;48,899;-0,0234375;-0,01171875;-0,96875
125,511276;0;0;0,01025;0,002847222;48,78822381;0;48,898;-0,01953125;-0,015625;-0,97265625
126,511236;0;0;0,01025;0,002847222;48,79072863;0;48,898;-0,01953125;-0,02734375;-0,9765625
127,5112998;0;0;0,0205;0,005694444;48,79356903;0;48,898;-0,015625;-0,015625;-0,98828125
128,5112391;0;0;0,009225;0,0025625;48,7975228;0;48,898;0,00390625;-0,01171875;-0,9453125
129,5112529;0;0;0,0205;0,005694444;48,8014486;0;48,898;-0,015625;-0,0078125;-0,96875
130,51122;0;0;0,060474999;0,016798611;48,80926036;0;48,898;-0,01953125;0;-0,9609375
131,4112399;0;0;0,0369;0,01025;48,81670281;0;48,898;-0,01171875;-0,015625;-0,9765625
132,511234;0;0;0,003075;0,000854167;48,82630842;0;48,897;-0,01171875;-0,02734375;-0,95703125
133,511235;0;0;0,01025;0,002847222;48,83046174;0;48,898;-0,015625;-0,01171875;-0,9609375
134,6112499;0;0;0,013325;0,003701389;48,83706336;0;48,898;-0,0234375;-0,04296875;-0,96484375
135,5112419;0;0;0,0041;0,001138889;48,83986425;0;48,897;-0,01171875;0;-0,9765625
136,511229;0;0;0,001025;0,000284722;48,84010979;0;48,897;0;0,0078125;-0,984375
137,5112801;0;0;0,0082;0,002277778;48,84227731;0;48,898;-0,015625;-0,01953125;-0,9765625
138,511224;0;0;0,011275;0,003131944;48,84572575;0;48,897;0;-0,015625;-0,9453125
139,5114028;0;0;0,02255;0,006263889;48,848371;0;48,897;-0,03125;-0,05078125;-0,97265625
140,511236;0;0;0,0369;0,01025;48,85507496;0;48,897;-0,015625;-0,03515625;-0,94921875
142,011215;0;0;0,0082;0,002277778;48,86310458;0;48,897;-0,0859375;0,03515625;-0,9140625
143,0112319;0;0;0,0369;0,01025;48,86891282;0;48,897;-0,00390625;-0,0234375;-0,94921875
144,011234;0;0;0,019475;0,005409722;48,87962924;0;48,897;-0,00390625;-0,03125;-0,9609375
145,1112618;0;0;0,0369;0,01025;48,88647344;0;48,896;-0,0078125;-0,01171875;-0,95703125
146,111227;0;0;0,023575;0,006548611;48,89202901;0;48,897;-0,00390625;-0,03515625;-0,94140625
147,111218;0;0;0,001025;0,000284722;48,89434241;0;48,897;-0,00390625;-0,0078125;-0,96875
148,1112309;0;0;0,0123;0,003416667;48,90240368;0;48,897;-0,02734375;-0,015625;-0,97265625
149,2112279;0;0;0,0164;0,004555556;48,91935161;0;48,896;-0,01171875;-0,03125;-0,96484375
150,511229;0;0;0,0205;0,005694444;48,92958024;0;48,896;-0,01953125;-0,0078125;-0,984375
151,5112278;0;0;0,01025;0,002847222;48,93292574;0;48,896;-0,01953125;-0,01953125;-0,96484375
152,5112441;0;0;0,01845;0,005125;48,93639953;0;48,896;-0,015625;-0,01171875;-0,984375
153,51123;0;0;0,025625;0,007118055;48,94001194;0;48,896;-0,01953125;-0,015625;-0,96484375
154,5112169;0;0;0,0369;0,01025;48,94422226;0;48,896;0,01171875;-0,01171875;-0,953125
155,511219;0;0;0,102499999;0,028472222;48,96486368;0;48,896;-0,01953125;-0,01953125;-0,96484375
156,5112391;0;0;0,0164;0,004555556;48,99485983;0;48,896;-0,00390625;-0,0390625;-0,953125
157,5112369;0;0;0,162974999;0,045270833;49,02955449;0;48,896;-0,01953125;-0,015625;-0,984375
158,511236;0;0;1,002449991;0,278458331;49,13034351;0;48,896;0,015625;0;-0,9375
159,511229;0;0;3,065774973;0,851604159;49,69980218;0;48,895;0,05078125;-0,01953125;-0,9453125
160,5112329;0;0;3,524974969;0,979159714;50,61445531;0;48,896;0,0859375;-0,05078125;-0,91015625
161,5112309;0;0;4,154324964;1,153979157;51,66449159;0;48,895;-0,0390625;-0,01171875;-0,95703125
162,6112299;0;0;4,173799964;1,159388879;52,96871463;0;48,895;-0,1640625;-0,015625;-0,87109375
163,511224;0;0;4,58174996;1,272708322;54,09882367;0;48,895;0,03125;-0,0859375;-1,01171875
164,5112209;0;0;4,54792496;1,263312489;55,38797903;0;48,896;-0,09765625;0,0078125;-1,03515625
166,6112299;0;0;4,149199964;1,152555546;57,92304935;0;48,895;0,15234375;-0,0625;-0,9609375
168,9112239;0;0;2,998124974;0,832812493;60,276002;0;48,895;0,0390625;-0,06640625;-0,984375
169,5112259;0;0;2,29189998;0,636638883;60,69032181;0;48,894;0,07421875;-0,015625;-0,95703125
